Size Fraction ID,Particle ID,Mineral ID,Volume%,Particle Area,Mineral Area,Weight%,Particle Weight,Mineral Weight
0,4,20,10000,38,38,10000,12996,12996
0,9,68,10000,298,298,10000,93274,93274
0,11,29,4633,177,82,4633,57171,26486
0,11,30,5367,177,95,5367,57171,30685
0,13,30,10000,89,89,10000,28747,28747
0,14,19,8861,202,179,8758,63356,55490
0,14,20,1139,202,23,1242,63356,7866
0,1,51,9409,609,573,9407,316752,297960
0,1,56,591,609,36,593,316752,18792
0,3,1,2143,196,42,1244,89482,11130
0,3,2,918,196,18,853,89482,7632
0,3,51,6939,196,136,7903,89482,70720
0,5,11,3438,64,22,3288,24090,7920
0,5,12,6563,64,42,6712,24090,16170
0,6,11,10000,34,34,10000,12240,12240
0,18,51,10000,25,25,10000,13000,13000
0,22,19,10000,890,890,10000,275900,275900
0,23,73,10000,605,605,10000,184525,184525
0,25,51,10000,54,54,10000,28080,28080
0,26,69,10000,11,11,10000,2981,2981
0,27,7,3216,199,64,2591,70880,18368
0,27,11,1407,199,28,1422,70880,10080
0,27,20,2513,199,50,2413,70880,17100
0,27,31,1960,199,39,2388,70880,16926
0,27,55,905,199,18,1186,70880,8406
0,28,20,10000,371,371,10000,126882,126882
0,30,6,198,809,16,172,260422,4480
0,30,20,470,809,38,499,260422,12996
0,30,21,445,809,36,546,260422,14220
0,30,29,2027,809,164,2034,260422,52972
0,30,30,4722,809,382,4738,260422,123386
0,30,33,1693,809,137,1578,260422,41100
0,30,68,445,809,36,433,260422,11268
0,31,31,10000,85,85,10000,36890,36890
0,33,55,10000,29,29,10000,13543,13543
0,34,1,8050,436,351,8068,115285,93015
0,34,9,1950,436,85,1932,115285,22270
0,36,20,10000,41,41,10000,14022,14022
0,37,6,1437,981,141,1353,291844,39480
0,37,7,112,981,11,108,291844,3157
0,37,8,347,981,34,298,291844,8704
0,37,29,1498,981,147,1627,291844,47481
0,37,32,3048,981,299,3104,291844,90597
0,37,33,2232,981,219,2251,291844,65700
0,37,34,367,981,36,348,291844,10170
0,37,35,958,981,94,910,291844,26555
0,39,10,4327,1084,469,3605,344795,124285
0,39,19,111,1084,12,108,344795,3720
0,39,20,240,1084,26,258,344795,8892
0,39,22,101,1084,11,101,344795,3498
0,39,23,4696,1084,509,5388,344795,185785
0,39,24,304,1084,33,313,344795,10791
0,39,37,221,1084,24,227,344795,7824
0,41,11,885,418,37,902,147663,13320
0,41,20,7608,418,318,7365,147663,108756
0,41,21,1077,418,45,1204,147663,17775
0,41,31,431,418,18,529,147663,7812
0,8,20,10000,88,88,10000,30096,30096
0,10,20,10000,14,14,10000,4788,4788
0,43,20,8631,263,227,8452,91854,77634
0,43,21,1369,263,36,1548,91854,14220
0,44,23,10000,20,20,10000,7300,7300
0,45,11,3661,478,175,3507,179655,63000
0,45,12,6339,478,303,6493,179655,116655
0,46,78,10000,28,28,10000,14028,14028
0,47,1,8927,1100,982,8904,292268,260230
0,47,7,164,1100,18,177,292268,5166
0,47,8,473,1100,52,455,292268,13312
0,47,34,436,1100,48,464,292268,13560
0,48,20,7879,330,260,7628,116570,88920
0,48,21,2121,330,70,2372,116570,27650
0,49,73,10000,507,507,10000,154635,154635
0,12,2,1564,179,28,1380,85998,11872
0,12,7,279,179,5,167,85998,1435
0,12,51,3464,179,62,3749,85998,32240
0,12,52,2402,179,43,2215,85998,19049
0,12,56,2291,179,41,2489,85998,21402
0,16,7,1944,72,14,1221,32906,4018
0,16,51,4722,72,34,5373,32906,17680
0,16,55,3333,72,24,3406,32906,11208
0,17,34,10000,24,24,10000,6780,6780
0,19,34,10000,29,29,10000,8193,8193
0,21,34,10000,141,141,10000,39833,39833
0,52,11,10000,200,200,10000,72000,72000
0,54,11,7570,284,215,7664,100998,77400
0,54,20,2430,284,69,2336,100998,23598
0,55,1,2873,362,104,2222,124038,27560
0,55,2,2265,362,82,2803,124038,34768
0,55,7,3204,362,116,2684,124038,33292
0,55,51,608,362,22,922,124038,11440
0,55,52,884,362,32,1143,124038,14176
0,55,55,166,362,6,226,124038,2802
0,56,1,2381,210,50,2025,65430,13250
0,56,6,1286,210,27,1155,65430,7560
0,56,7,3286,210,69,3027,65430,19803
0,56,32,1857,210,39,1806,65430,11817
0,56,51,1190,210,25,1987,65430,13000
0,57,11,6608,973,643,6411,361046,231480
0,57,12,2323,973,226,2410,361046,87010
0,57,33,370,973,36,299,361046,10800
0,57,55,699,973,68,880,361046,31756
0,59,51,10000,40,40,10000,20800,20800
0,60,9,10000,28,28,10000,7336,7336
0,62,1,3755,815,306,3731,217331,81090
0,62,6,479,815,39,502,217331,10920
0,62,7,442,815,36,475,217331,10332
0,62,9,5067,815,413,4979,217331,108206
0,62,30,258,815,21,312,217331,6783
0,63,11,2794,1174,328,2893,408154,118080
0,63,20,7087,1174,832,6971,408154,284544
0,63,21,119,1174,14,135,408154,5530
0,64,20,10000,144,144,10000,49248,49248
0,29,11,6207,58,36,6048,21430,12960
0,29,12,3793,58,22,3952,21430,8470
0,32,12,10000,99,99,10000,38115,38115
0,66,19,10000,13,13,10000,4030,4030
0,68,11,10000,57,57,10000,20520,20520
0,69,10,10000,175,175,10000,46375,46375
0,70,7,1110,775,86,1023,241304,24682
0,70,19,6632,775,514,6603,241304,159340
0,70,20,877,775,68,964,241304,23256
0,70,22,1381,775,107,1410,241304,34026
0,72,51,5528,161,89,5603,82599,46280
0,72,55,1429,161,23,1300,82599,10741
0,72,57,3043,161,49,3097,82599,25578
0,71,30,10000,11,11,10000,3553,3553
0,73,6,5500,100,55,5304,29035,15400
0,73,32,4500,100,45,4696,29035,13635
0,74,51,10000,11,11,10000,5720,5720
0,75,1,8142,226,184,8142,59890,48760
0,75,3,1858,226,42,1858,59890,11130
0,76,20,6053,456,276,6188,152532,94392
0,76,29,3947,456,180,3812,152532,58140
0,77,1,7927,521,413,7802,140287,109445
0,77,6,422,521,22,439,140287,6160
0,77,7,1651,521,86,1759,140287,24682
0,78,11,7631,249,190,7564,90433,68400
